ticket_id,created_at,category,priority,channel,customer_tier,first_response_minutes,resolution_minutes,status,escalated,refund_requested,refund_amount,csat_score
TCK-10000,2026-03-14T14:36:00,Account,High,Phone,Enterprise,77.91,273.64,Closed,True,False,,
TCK-10001,2025-09-26T15:47:00,Billing,Normal,Email,Pro,67.39,462.46,Closed,False,True,397.35,3.00
TCK-10002,2026-01-01T15:18:00,Shipping,High,Chat,Enterprise,40.65,260.49,Resolved,False,False,,3.00
TCK-10003,2026-04-20T09:38:00,Shipping,Normal,Email,Pro,37.71,215.94,Pending,True,False,,4.00
TCK-10004,2026-01-12T09:56:00,Other,High,Email,Free,36.22,174.34,Pending,False,False,,5.00
TCK-10005,2026-04-10T09:52:00,Returns,Urgent,Web,Pro,69.02,1728.92,Closed,True,True,334.46,
TCK-10006,2026-04-10T18:10:00,Billing,Low,Email,Enterprise,47.38,359.46,Closed,True,True,257.27,5.00
TCK-10007,2026-07-27T12:58:00,Other,Normal,Phone,Pro,48.58,128.34,Resolved,True,False,,3.00
TCK-10008,2026-06-12T19:33:00,Technical,Normal,Web,Pro,64.42,206.83,Closed,True,False,,
TCK-10009,2026-04-10T18:35:00,Returns,High,Web,Free,143.89,967.08,Resolved,False,True,166.00,4.00
TCK-10010,2026-01-21T10:51:00,Shipping,Normal,Phone,Free,33.51,411.90,Resolved,False,False,,3.00
TCK-10011,2026-07-02T19:20:00,Billing,High,Chat,Pro,28.84,344.99,Resolved,False,True,394.60,4.00
TCK-10012,2026-06-02T15:42:00,Other,Normal,Chat,Free,101.94,392.19,Closed,False,False,,3.00
TCK-10013,2026-02-10T09:43:00,Billing,Normal,Chat,Free,103.50,550.31,Closed,False,False,,4.00
TCK-10014,2026-04-24T09:35:00,Billing,Low,Email,Free,78.62,341.39,Closed,False,True,233.61,
TCK-10015,2026-07-16T12:39:00,Returns,Normal,Chat,Enterprise,172.80,927.45,Resolved,False,True,197.43,4.00
TCK-10016,2026-04-01T19:36:00,Returns,Low,Email,Free,79.63,780.88,Resolved,False,True,202.95,5.00
TCK-10017,2025-11-09T08:01:00,Account,Normal,Web,Enterprise,21.88,132.22,Closed,False,False,,4.00
TCK-10018,2026-04-10T10:21:00,Billing,Normal,Chat,Free,29.78,299.38,Resolved,False,True,440.27,
TCK-10019,2026-03-07T17:49:00,Shipping,Low,Chat,Free,55.30,495.43,Resolved,False,False,,4.00
TCK-10020,2025-11-29T18:21:00,Shipping,Normal,Email,Free,58.52,474.82,Closed,False,False,,3.00
TCK-10021,2026-07-25T15:23:00,Billing,Normal,Chat,Enterprise,,492.01,Closed,False,True,115.88,5.00
TCK-10022,2025-11-25T14:01:00,Billing,Low,Web,Free,42.45,212.66,Resolved,False,True,457.84,4.00
TCK-10023,2026-05-21T11:18:00,Shipping,Normal,Email,Pro,40.24,246.06,Pending,False,False,,4.00
TCK-10024,2025-11-17T09:30:00,Account,High,Chat,Free,32.22,123.82,Closed,False,False,,4.00
TCK-10025,2025-08-21T12:17:00,Returns,High,Phone,Pro,235.29,1515.29,Resolved,False,True,350.93,5.00
TCK-10026,2026-07-15T13:08:00,Technical,Normal,Chat,Free,106.75,478.33,Closed,False,False,,4.00
TCK-10027,2026-01-04T15:49:00,Account,High,Web,Pro,56.72,224.14,Closed,False,False,,3.00
TCK-10028,2026-01-03T11:06:00,Technical,Normal,Phone,Free,137.63,553.70,Closed,False,False,,3.00
TCK-10029,2026-02-11T07:12:00,Technical,Low,Email,Free,20.19,266.01,Resolved,False,False,,5.00
TCK-10030,2025-09-01T14:26:00,Billing,Normal,Chat,Pro,54.74,276.98,Resolved,False,False,,5.00
TCK-10031,2025-09-16T11:02:00,Returns,High,Phone,Pro,70.91,499.51,Pending,False,False,,4.00
TCK-10032,2025-08-24T18:54:00,Other,Low,Web,Pro,41.48,128.79,Closed,False,False,,
TCK-10033,2026-03-11T13:00:00,Other,Low,Chat,Free,42.49,137.12,Pending,False,False,,3.00
TCK-10034,2025-09-12T13:11:00,Account,Low,Email,Pro,24.30,125.63,Open,False,False,,4.00
TCK-10035,2026-01-15T16:41:00,Account,Normal,Phone,Pro,39.82,227.01,Resolved,False,False,,
TCK-10036,2026-01-17T13:44:00,Account,High,Email,Free,34.77,178.84,Closed,True,False,,
TCK-10037,2026-02-05T13:43:00,Shipping,High,Email,Enterprise,71.97,993.99,Closed,False,False,,4.00
TCK-10038,2025-10-14T14:04:00,Returns,High,Email,Free,101.95,532.32,Open,False,True,164.77,3.00
TCK-10039,2026-07-14T18:29:00,Technical,High,Chat,Free,132.48,637.75,Resolved,False,False,,
TCK-10040,2025-12-10T16:29:00,Account,Low,Email,Enterprise,39.91,158.03,Closed,False,False,,2.00
TCK-10041,2025-08-01T19:06:00,Technical,Low,Email,Free,104.58,499.30,Resolved,False,False,,4.00
TCK-10042,2026-03-12T13:57:00,Shipping,Normal,Email,Free,23.77,297.52,Closed,False,False,,
TCK-10043,2025-08-30T11:25:00,Account,Low,Chat,Free,19.57,82.93,Open,False,False,,4.00
TCK-10044,2026-02-12T11:28:00,Other,High,Chat,Pro,41.50,192.40,Resolved,True,False,,
TCK-10045,2026-04-27T15:33:00,Billing,Normal,Email,Pro,38.83,496.02,Resolved,True,False,,
TCK-10046,2025-12-13T19:26:00,Returns,High,Chat,Pro,174.15,998.34,Resolved,True,True,64.82,3.00
TCK-10047,2026-07-12T19:33:00,Returns,High,Web,Free,60.93,1116.13,Closed,False,True,445.40,
TCK-10048,2026-05-19T10:33:00,Shipping,Normal,Email,Pro,83.82,323.56,Resolved,False,False,,2.00
TCK-10049,2025-09-12T16:13:00,Technical,High,Email,Pro,97.77,617.31,Closed,False,False,,4.00
TCK-10050,2026-03-11T19:56:00,Shipping,Normal,Email,Free,45.59,274.69,Pending,False,False,,4.00
TCK-10051,2026-06-08T18:29:00,Billing,Low,Email,Pro,25.31,144.02,Pending,True,False,,
TCK-10052,2026-05-30T10:55:00,Billing,High,Web,Free,,544.66,Closed,False,True,242.81,4.00
TCK-10053,2026-07-17T18:19:00,Billing,Low,Email,Pro,61.82,270.64,Pending,False,False,,4.00
TCK-10054,2026-06-13T18:00:00,Technical,High,Email,Enterprise,43.13,231.62,Open,False,False,,4.00
TCK-10055,2026-05-04T12:45:00,Billing,Normal,Phone,Pro,17.87,197.75,Closed,False,False,,2.00
TCK-10056,2026-03-02T11:42:00,Billing,Low,Chat,Free,46.62,228.53,Open,False,False,,3.00
TCK-10057,2026-01-14T16:05:00,Account,Low,Web,Free,33.97,139.79,Resolved,False,False,,3.00
TCK-10058,2026-05-30T09:53:00,Account,High,Email,Enterprise,24.89,151.20,Closed,False,False,,4.00
TCK-10059,2025-11-29T18:21:00,Other,High,Email,Free,40.22,319.08,Resolved,False,False,,
TCK-10060,2026-02-02T15:34:00,Technical,Normal,Phone,Free,58.82,214.60,Pending,False,False,,2.00
TCK-10061,2026-03-31T15:48:00,Shipping,Low,Email,Enterprise,18.86,164.90,Open,True,False,,
TCK-10062,2026-06-25T13:19:00,Account,Low,Phone,Free,56.35,220.14,Resolved,False,False,,4.00
TCK-10063,2026-02-10T10:16:00,Account,Low,Phone,Pro,36.28,197.64,Pending,False,False,,
TCK-10064,2026-04-07T08:35:00,Billing,Normal,Email,Free,94.91,390.77,Closed,False,False,,3.00
TCK-10065,2025-09-16T11:51:00,Account,Normal,Chat,Free,23.05,181.85,Resolved,False,False,,4.00
TCK-10066,2025-11-29T17:27:00,Technical,Low,Email,Free,,298.80,Pending,False,False,,3.00
TCK-10067,2025-11-17T13:26:00,Returns,Normal,Phone,Free,66.60,452.22,Resolved,False,True,430.18,4.00
TCK-10068,2026-06-21T13:07:00,Account,Low,Phone,Free,20.18,89.89,Closed,False,False,,3.00
TCK-10069,2026-06-24T11:42:00,Shipping,Normal,Chat,Free,39.14,185.97,Resolved,False,False,,4.00
TCK-10070,2026-05-26T07:32:00,Technical,High,Chat,Free,46.53,429.84,Closed,False,False,,4.00
TCK-10071,2025-12-26T13:52:00,Billing,Normal,Chat,Pro,33.54,284.56,Resolved,False,False,,2.00
TCK-10072,2025-12-06T12:14:00,Account,High,Web,Pro,135.80,795.85,Resolved,True,False,,
TCK-10073,2026-01-10T18:34:00,Returns,Urgent,Chat,Free,72.20,443.34,Resolved,False,True,371.84,4.00
TCK-10074,2026-04-11T19:06:00,Technical,High,Web,Free,126.64,625.81,Closed,False,False,,4.00
TCK-10075,2026-04-30T15:54:00,Billing,Normal,Web,Enterprise,63.13,306.02,Resolved,False,False,,
TCK-10076,2025-11-27T12:51:00,Account,Normal,Email,Free,30.49,210.53,Resolved,False,False,,
TCK-10077,2026-02-28T15:30:00,Other,Normal,Chat,Free,28.40,238.00,Open,False,False,,3.00
TCK-10078,2025-09-18T11:11:00,Billing,High,Phone,Pro,71.21,658.83,Closed,False,False,,3.00
TCK-10079,2026-01-09T18:58:00,Other,Low,Chat,Free,19.17,77.71,Pending,False,False,,3.00
TCK-10080,2026-07-22T09:16:00,Technical,Normal,Chat,Free,38.33,396.47,Resolved,False,False,,3.00
TCK-10081,2026-02-22T08:06:00,Returns,High,Chat,Free,103.02,1205.48,Pending,False,False,,2.00
TCK-10082,2025-08-04T11:24:00,Account,Normal,Web,Pro,24.24,140.74,Open,True,False,,4.00
TCK-10083,2025-11-11T07:05:00,Returns,High,Phone,Free,45.74,761.41,Closed,False,True,93.08,3.00
TCK-10084,2025-10-29T11:58:00,Technical,Normal,Email,Pro,68.77,694.92,Resolved,False,False,,4.00
TCK-10085,2026-06-25T14:17:00,Billing,Urgent,Phone,Free,104.55,783.88,Resolved,True,True,50.49,3.00
TCK-10086,2026-02-26T19:48:00,Billing,Normal,Web,Pro,49.31,297.56,Closed,False,False,,
TCK-10087,2026-01-12T13:24:00,Returns,Normal,Web,Free,64.38,451.67,Closed,False,False,,
TCK-10088,2026-06-27T08:18:00,Account,Normal,Chat,Pro,38.41,202.91,Closed,False,False,,4.00
TCK-10089,2025-12-12T07:45:00,Other,Normal,Web,Free,22.28,155.93,Closed,False,False,,4.00
TCK-10090,2026-07-09T18:19:00,Shipping,Normal,Web,Free,61.10,221.40,Open,False,False,,4.00
TCK-10091,2025-09-02T10:21:00,Billing,Low,Chat,Free,77.57,427.88,Closed,False,True,343.16,1.00
TCK-10092,2026-04-15T15:18:00,Technical,Urgent,Chat,Pro,71.32,343.97,Pending,False,False,,3.00
TCK-10093,2026-02-15T15:18:00,Technical,High,Chat,Free,60.88,244.60,Closed,False,False,,3.00
TCK-10094,2025-10-07T12:50:00,Billing,High,Email,Pro,75.07,415.31,Resolved,False,False,,4.00
TCK-10095,2026-03-14T17:52:00,Technical,High,Chat,Free,104.88,576.36,Closed,False,False,,5.00
TCK-10096,2026-02-15T14:12:00,Account,High,Chat,Free,26.43,223.36,Closed,False,False,,
TCK-10097,2026-04-29T11:46:00,Billing,Low,Chat,Pro,,168.19,Resolved,False,False,,2.00
TCK-10098,2026-02-05T11:05:00,Account,Low,Phone,Free,,191.32,Resolved,False,False,,4.00
TCK-10099,2026-05-03T07:32:00,Shipping,Low,Email,Free,43.58,283.63,Closed,False,False,,4.00
TCK-10100,2026-07-27T09:50:00,Billing,Urgent,Email,Pro,102.46,551.57,Pending,False,False,,3.00
TCK-10101,2026-01-07T12:17:00,Technical,Normal,Web,Free,48.38,577.83,Pending,False,False,,3.00
TCK-10102,2026-06-05T19:11:00,Technical,Normal,Chat,Free,32.88,197.31,Closed,False,False,,4.00
